step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.006,-0.152,-0.047,+0.000,+0.002,+0.051,+0.016,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.005,-0.123,-0.047,+0.000,+0.002,+0.041,+0.016,+0.005,-0.010,+0.000,-3.05,-0.03,-8.34,-0.004,+0.351,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.004,-0.094,-0.047,+0.000,+0.001,+0.031,+0.016,+0.012,+0.070,+0.002,-2.30,-0.04,-9.88,-0.004,+0.229,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,-0.005,-0.049,-0.041,+0.000,+0.002,+0.016,+0.014,+0.001,+0.355,+0.002,-0.81,-0.00,-10.03,-0.000,+0.081,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.002,-0.035,-0.047,+0.000,+0.001,+0.012,+0.016,+0.020,+0.334,+0.114,-0.02,+0.00,-9.25,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.000,-0.054,-0.032,+0.000,+0.000,+0.018,+0.011,+0.015,+0.099,+0.152,-0.14,+0.00,-9.75,+0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.003,-0.049,+0.000,+0.000,-0.001,+0.016,-0.000,+0.002,+0.132,+0.093,-0.01,+0.00,-9.99,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.002,-0.036,+0.000,+0.000,-0.001,+0.012,-0.000,-0.002,+0.160,+0.028,-0.95,-0.01,-9.84,-0.001,+0.097,1,+0.011,+0.00,+0.012,+0.0,0,
8,0.270,+0.003,-0.043,+0.016,+0.000,-0.001,+0.014,-0.005,-0.004,+0.119,-0.017,+0.48,+0.00,-10.24,+0.000,-0.047,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.270,+0.005,-0.045,+0.031,+0.000,-0.002,+0.015,-0.010,-0.004,+0.110,-0.021,-0.02,-0.00,-10.11,-0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
10,0.270,+0.004,-0.041,+0.036,+0.000,-0.001,+0.014,-0.012,-0.009,+0.126,-0.043,-0.04,-0.00,-10.11,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,-0.001,-0.041,-0.006,+0.000,+0.000,+0.014,+0.002,-0.010,+0.117,-0.084,-0.05,-0.00,-10.10,-0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,-0.001,-0.042,+0.000,+0.000,+0.000,+0.014,-0.000,-0.006,+0.112,-0.081,-0.06,-0.00,-10.10,-0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.270,-0.002,-0.041,-0.021,+0.000,+0.001,+0.014,+0.007,+0.005,+0.113,+0.014,-0.06,-0.00,-10.09,-0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,+0.002,-0.030,+0.011,+0.000,-0.001,+0.010,-0.004,+0.004,+0.110,+0.041,-1.20,-0.01,-9.78,-0.001,+0.122,1,-0.001,+0.00,+0.000,+0.0,0,
15,0.277,+0.000,-0.031,-0.006,+0.014,-0.000,+0.010,+0.002,+0.003,+0.102,+0.043,-0.10,+0.00,-10.08,+0.000,+0.010,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.277,-0.001,-0.034,-0.006,+0.014,+0.000,+0.011,+0.002,-0.002,+0.080,-0.003,-0.11,-0.00,-10.25,-0.000,+0.011,1,-0.001,+0.00,+0.000,+0.0,0,
17,0.278,+0.001,-0.034,+0.000,+0.016,-0.000,+0.011,-0.000,+0.002,+0.088,+0.002,-0.13,+0.00,-10.38,+0.000,+0.013,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.283,-0.000,-0.035,-0.006,+0.027,+0.000,+0.012,+0.002,+0.001,+0.092,+0.012,-0.15,-0.00,-10.43,-0.000,+0.015,1,-0.001,+0.00,+0.000,+0.0,0,
19,0.283,-0.000,-0.035,-0.006,+0.027,+0.000,+0.012,+0.002,-0.001,+0.090,+0.006,-0.17,-0.00,-10.57,-0.000,+0.016,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.270,+0.002,-0.035,+0.011,+0.000,-0.001,+0.012,-0.004,+0.001,+0.091,+0.012,-0.17,+0.00,-10.72,+0.000,+0.016,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.273,+0.001,-0.035,+0.011,+0.005,-0.000,+0.012,-0.004,-0.003,+0.090,-0.001,-0.23,-0.00,-9.95,-0.000,+0.023,1,-0.002,+0.00,+0.000,+0.0,0,
22,0.272,+0.001,-0.036,+0.011,+0.004,-0.000,+0.012,-0.004,-0.004,+0.088,-0.031,-0.17,+0.00,-9.70,+0.000,+0.017,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.272,+0.002,-0.035,+0.018,+0.004,-0.001,+0.012,-0.006,-0.002,+0.089,-0.033,-0.26,-0.00,-9.84,-0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.273,+0.002,-0.034,+0.025,+0.006,-0.001,+0.011,-0.008,-0.003,+0.089,-0.028,-0.29,-0.00,-9.96,-0.000,+0.029,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.276,+0.002,-0.033,+0.024,+0.013,-0.001,+0.011,-0.008,-0.006,+0.085,-0.045,-0.32,-0.00,-10.11,-0.000,+0.032,1,-0.002,+0.00,+0.000,+0.0,0,
26,0.280,+0.001,-0.032,+0.018,+0.019,-0.000,+0.011,-0.006,-0.004,+0.083,-0.060,-0.37,-0.00,-10.24,-0.000,+0.036,1,-0.001,+0.00,+0.000,+0.0,0,
27,0.283,-0.003,-0.032,-0.018,+0.026,+0.001,+0.011,+0.006,-0.003,+0.083,-0.054,-0.38,-0.00,-10.32,-0.000,+0.037,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.301,-0.004,-0.031,-0.024,+0.061,+0.001,+0.010,+0.008,+0.000,+0.080,-0.034,-0.41,+0.00,-10.46,+0.000,+0.039,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.300,-0.002,-0.030,-0.019,+0.059,+0.001,+0.010,+0.006,+0.010,+0.077,+0.068,-0.46,+0.00,-11.19,+0.000,+0.041,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.302,-0.001,-0.028,-0.010,+0.064,+0.000,+0.009,+0.003,+0.006,+0.075,+0.073,-0.71,-0.00,-11.25,-0.000,+0.063,1,+0.003,+0.00,+0.004,+0.0,0,
31,0.303,+0.000,-0.027,+0.000,+0.066,-0.000,+0.009,-0.000,+0.003,+0.074,+0.049,-0.51,+0.00,-11.54,+0.000,+0.044,1,+0.041,+0.00,+0.043,+0.0,0,
32,0.307,-0.001,-0.026,-0.005,+0.074,+0.000,+0.009,+0.002,-0.001,+0.067,+0.004,-0.56,-0.00,-11.74,-0.000,+0.047,1,+0.030,+0.00,+0.032,+0.0,0,
33,0.306,-0.001,-0.025,-0.007,+0.073,+0.000,+0.008,+0.002,+0.001,+0.066,-0.005,-0.60,+0.00,-11.90,+0.000,+0.050,1,+0.041,+0.00,+0.043,+0.0,0,
34,0.305,-0.000,-0.024,-0.006,+0.070,+0.000,+0.008,+0.002,+0.002,+0.065,+0.008,-0.63,+0.00,-11.94,+0.000,+0.053,1,-0.002,+0.00,+0.000,+0.0,0,
35,0.305,-0.000,-0.024,-0.006,+0.070,+0.000,+0.008,+0.002,+0.001,+0.062,+0.020,-0.67,-0.00,-11.94,-0.000,+0.056,1,-0.002,+0.00,+0.000,+0.0,0,
36,0.308,-0.000,-0.023,-0.005,+0.077,+0.000,+0.008,+0.002,+0.000,+0.060,+0.014,-0.71,-0.00,-11.90,-0.000,+0.060,1,-0.002,+0.00,+0.000,+0.0,0,
37,0.310,+0.000,-0.015,-0.002,+0.079,-0.000,+0.005,+0.001,+0.001,+0.057,+0.009,-1.56,-0.01,-11.24,-0.000,+0.138,1,-0.001,+0.00,+0.000,+0.0,0,
38,0.311,+0.000,-0.014,+0.000,+0.082,-0.000,+0.005,-0.000,+0.000,+0.052,+0.009,-0.80,-0.00,-11.99,-0.000,+0.066,1,+0.003,+0.00,+0.004,+0.0,0,
39,0.311,-0.000,-0.016,-0.004,+0.082,+0.000,+0.005,+0.001,-0.001,+0.034,+0.002,-0.84,-0.00,-12.06,-0.000,+0.070,1,+0.051,+0.00,+0.053,+0.0,0,
40,0.314,-0.000,-0.014,-0.004,+0.088,+0.000,+0.005,+0.001,+0.001,+0.040,+0.002,-0.89,-0.00,-12.08,-0.000,+0.073,1,+0.026,+0.00,+0.027,+0.0,0,
41,0.314,-0.000,-0.014,-0.004,+0.088,+0.000,+0.005,+0.001,+0.001,+0.040,+0.009,-0.93,-0.00,-12.12,-0.000,+0.076,1,+0.028,+0.00,+0.030,+0.0,0,
