step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.001,-0.206,-0.006,+0.000,+0.000,+0.069,+0.002,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.002,-0.179,-0.008,+0.000,+0.001,+0.060,+0.003,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.001,-0.153,-0.005,+0.000,+0.000,+0.051,+0.002,+0.003,+0.024,+0.002,-2.80,-0.09,-9.52,-0.010,+0.286,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.002,-0.075,-0.005,+0.000,+0.001,+0.025,+0.002,+0.001,+0.468,+0.001,-1.57,+0.01,-10.21,+0.001,+0.153,1,-0.001,+0.00,+0.000,+0.0,0,
4,0.270,-0.001,-0.056,-0.006,+0.000,+0.000,+0.019,+0.002,+0.004,+0.489,+0.006,-0.03,+0.00,-9.03,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.001,-0.084,-0.007,+0.001,+0.000,+0.028,+0.002,+0.005,+0.147,+0.019,-0.01,+0.00,-9.68,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.271,+0.002,-0.075,+0.006,+0.002,-0.001,+0.025,-0.002,+0.003,+0.197,+0.015,-0.02,+0.00,-9.96,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.000,-0.063,+0.002,+0.000,-0.000,+0.021,-0.001,-0.001,+0.239,+0.006,-0.03,-0.00,-10.08,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.001,-0.064,-0.001,+0.000,+0.000,+0.021,+0.000,-0.003,+0.188,-0.013,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.270,-0.001,-0.065,-0.003,+0.000,+0.000,+0.022,+0.001,+0.001,+0.174,-0.007,-0.04,+0.00,-10.11,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,+0.000,-0.061,-0.001,+0.000,-0.000,+0.020,+0.000,+0.002,+0.179,+0.008,-0.04,+0.00,-10.11,+0.000,+0.004,1,-0.001,+0.00,+0.000,+0.0,0,
11,0.270,-0.001,-0.059,-0.005,+0.000,+0.000,+0.020,+0.002,+0.001,+0.171,+0.010,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,+0.000,-0.058,-0.000,+0.000,-0.000,+0.019,+0.000,+0.002,+0.159,+0.006,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.270,+0.000,-0.058,-0.000,+0.000,-0.000,+0.019,+0.000,+0.002,+0.157,+0.008,-0.07,+0.00,-10.09,+0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.286,+0.000,-0.056,-0.001,+0.032,-0.000,+0.019,+0.000,-0.001,+0.154,+0.003,-0.09,-0.00,-10.08,-0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.289,+0.001,-0.055,+0.003,+0.038,-0.000,+0.018,-0.001,-0.000,+0.151,-0.001,-0.11,-0.00,-10.38,-0.000,+0.010,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.291,+0.001,-0.054,+0.002,+0.042,-0.000,+0.018,-0.001,-0.001,+0.146,-0.001,-0.12,-0.00,-10.79,-0.000,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.293,+0.001,-0.053,+0.003,+0.047,-0.000,+0.018,-0.001,-0.001,+0.141,-0.006,-0.15,-0.00,-11.09,-0.000,+0.013,1,-0.001,+0.00,+0.000,+0.0,0,
18,0.295,+0.000,-0.054,+0.002,+0.051,-0.000,+0.018,-0.001,-0.001,+0.139,-0.006,-0.16,-0.00,-11.21,-0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.298,+0.001,-0.053,+0.004,+0.057,-0.000,+0.018,-0.001,-0.001,+0.138,-0.007,-0.19,-0.00,-11.35,-0.000,+0.016,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.300,-0.000,-0.051,+0.001,+0.059,+0.000,+0.017,-0.000,-0.001,+0.137,-0.006,-0.21,-0.00,-11.48,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.303,+0.000,-0.051,+0.003,+0.066,-0.000,+0.017,-0.001,-0.000,+0.132,-0.006,-0.24,-0.00,-11.61,-0.000,+0.020,1,-0.002,+0.00,+0.000,+0.0,0,
22,0.305,+0.001,-0.050,+0.004,+0.070,-0.000,+0.017,-0.001,-0.000,+0.130,-0.002,-0.27,-0.00,-11.72,-0.000,+0.023,1,-0.001,+0.00,+0.000,+0.0,0,
23,0.270,+0.045,-0.050,+0.200,+0.000,-0.015,+0.017,-0.067,-0.002,+0.128,-0.005,-0.29,-0.00,-11.84,-0.000,+0.024,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.293,-0.009,-0.048,+0.001,+0.047,+0.003,+0.016,-0.000,-0.062,+0.129,-0.165,-0.32,-0.00,-10.07,-0.000,+0.032,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.294,-0.009,-0.048,-0.023,+0.047,+0.003,+0.016,+0.008,-0.003,+0.120,-0.279,-0.35,+0.00,-10.53,+0.000,+0.033,1,-0.002,+0.00,+0.000,+0.0,0,
26,0.294,-0.007,-0.046,-0.033,+0.049,+0.002,+0.015,+0.011,+0.026,+0.120,+0.094,-0.39,+0.00,-11.20,+0.000,+0.035,1,-0.001,+0.00,+0.000,+0.0,0,
27,0.297,-0.004,-0.033,-0.020,+0.053,+0.001,+0.011,+0.007,+0.016,+0.117,+0.127,-1.90,+0.02,-10.32,+0.001,+0.182,1,-0.001,+0.00,+0.000,+0.0,0,
28,0.297,-0.003,-0.034,-0.019,+0.055,+0.001,+0.011,+0.006,+0.012,+0.097,+0.073,-0.47,+0.00,-11.28,+0.000,+0.041,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.299,-0.001,-0.036,-0.010,+0.058,+0.000,+0.012,+0.003,+0.007,+0.082,+0.021,-0.51,+0.00,-11.34,+0.000,+0.045,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.270,+0.058,-0.035,+0.256,+0.000,-0.019,+0.012,-0.085,+0.004,+0.092,+0.021,-0.55,+0.00,-11.40,+0.000,+0.048,1,-0.002,+0.00,+0.000,+0.0,0,
31,0.270,+0.040,-0.034,+0.225,+0.000,-0.013,+0.011,-0.075,-0.079,+0.097,-0.188,-0.58,-0.00,-9.86,-0.000,+0.059,1,-0.002,+0.00,+0.000,+0.0,0,
32,0.304,-0.032,-0.033,-0.040,+0.068,+0.011,+0.011,+0.013,-0.134,+0.087,-0.603,-0.62,-0.01,-8.58,-0.001,+0.073,1,-0.002,+0.00,+0.000,+0.0,0,
33,0.320,-0.024,-0.032,-0.093,+0.100,+0.008,+0.011,+0.031,+0.053,+0.088,-0.335,-0.67,+0.01,-10.92,+0.001,+0.062,1,+0.012,+0.00,+0.013,+0.0,0,
34,0.320,-0.014,-0.032,-0.094,+0.100,+0.005,+0.011,+0.031,+0.092,+0.081,+0.213,-0.71,+0.01,-11.72,+0.001,+0.060,1,+0.070,+0.00,+0.072,+0.0,0,
35,0.321,-0.011,-0.032,-0.063,+0.103,+0.004,+0.011,+0.021,+0.029,+0.079,+0.372,-0.77,+0.00,-12.31,+0.000,+0.062,1,+0.007,+0.00,+0.008,+0.0,0,
36,0.323,-0.006,-0.032,-0.041,+0.105,+0.002,+0.011,+0.014,+0.026,+0.080,+0.204,-0.81,+0.00,-12.52,+0.000,+0.065,1,+0.057,+0.00,+0.059,+0.0,0,
37,0.325,-0.004,-0.031,-0.033,+0.110,+0.001,+0.010,+0.011,+0.015,+0.079,+0.051,-0.86,+0.00,-12.66,+0.000,+0.068,1,+0.063,+0.00,+0.065,+0.0,0,
38,0.325,-0.003,-0.029,-0.031,+0.110,+0.001,+0.010,+0.010,+0.010,+0.078,+0.048,-0.96,+0.00,-12.69,+0.000,+0.075,1,+0.070,+0.00,+0.072,+0.0,0,
39,0.327,-0.003,-0.028,-0.029,+0.113,+0.001,+0.009,+0.010,+0.008,+0.073,+0.075,-1.02,+0.00,-12.73,+0.000,+0.080,1,+0.032,+0.00,+0.035,+0.0,0,
40,0.327,-0.000,-0.027,-0.019,+0.115,+0.000,+0.009,+0.006,+0.007,+0.070,+0.072,-1.02,+0.00,-12.81,+0.000,+0.080,1,+0.058,+0.00,+0.059,+0.0,0,
41,0.329,-0.000,-0.026,-0.019,+0.118,+0.000,+0.009,+0.006,+0.007,+0.069,+0.065,-1.06,+0.00,-12.82,+0.000,+0.082,1,+0.094,+0.00,+0.096,+0.0,0,
