step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.000,-0.152,-0.001,+0.000,+0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.270,-0.000,-0.125,-0.000,+0.000,+0.000,+0.042,+0.000,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,+0.001,-0.101,-0.001,+0.000,-0.000,+0.034,+0.000,+0.011,-0.002,-0.000,-2.96,-0.04,-9.42,-0.004,+0.304,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.001,-0.061,-0.003,+0.000,+0.000,+0.020,+0.001,-0.003,+0.190,-0.001,-1.80,-0.02,-10.15,-0.002,+0.176,1,+0.036,+0.00,+0.038,+0.0,0,
4,0.270,-0.002,-0.027,-0.006,+0.000,+0.001,+0.009,+0.002,-0.001,+0.363,+0.000,-0.14,-0.01,-9.20,-0.001,+0.015,1,+0.021,+0.00,+0.023,+0.0,0,
5,0.270,+0.001,-0.050,-0.001,+0.000,-0.000,+0.017,+0.000,+0.006,+0.111,+0.011,+0.03,+0.00,-9.69,+0.000,-0.003,1,+0.075,+0.00,+0.076,+0.0,0,
6,0.270,-0.000,-0.055,-0.005,+0.000,+0.000,+0.018,+0.002,+0.003,+0.076,+0.014,-0.01,+0.00,-9.87,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.057,-0.042,+0.250,+0.000,-0.019,+0.014,-0.083,+0.001,+0.171,+0.006,-0.02,+0.00,-10.06,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.012,-0.042,-0.004,+0.000,+0.004,+0.014,+0.001,-0.073,+0.147,-0.194,-0.02,-0.01,-10.21,-0.001,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.011,-0.044,-0.039,+0.000,+0.004,+0.015,+0.013,+0.010,+0.113,-0.353,-0.03,+0.00,-10.13,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.007,-0.042,-0.050,+0.000,+0.002,+0.014,+0.017,+0.051,+0.121,+0.024,-0.04,+0.00,-10.17,+0.000,+0.004,1,-0.001,+0.00,+0.000,+0.0,0,
11,0.270,-0.006,-0.042,-0.037,+0.000,+0.002,+0.014,+0.012,+0.020,+0.119,+0.224,-0.05,+0.00,-10.11,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,-0.003,-0.042,-0.026,+0.000,+0.001,+0.014,+0.009,+0.010,+0.115,+0.128,-0.06,+0.00,-10.10,+0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.270,-0.003,-0.041,-0.027,+0.000,+0.001,+0.014,+0.009,+0.011,+0.113,+0.041,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,+0.000,-0.041,-0.012,+0.000,-0.000,+0.014,+0.004,+0.007,+0.110,+0.028,-0.08,+0.00,-10.09,+0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.270,+0.000,-0.040,-0.010,+0.000,-0.000,+0.013,+0.003,+0.003,+0.107,+0.052,-0.09,+0.00,-10.08,+0.000,+0.009,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.270,-0.001,-0.041,-0.014,+0.000,+0.000,+0.014,+0.005,-0.002,+0.106,+0.035,-0.11,-0.00,-10.08,-0.000,+0.011,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.270,+0.001,-0.040,-0.007,+0.000,-0.000,+0.013,+0.002,+0.003,+0.106,+0.020,-0.13,+0.00,-10.07,+0.000,+0.013,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.270,+0.002,-0.039,-0.003,+0.000,-0.001,+0.013,+0.001,+0.001,+0.104,+0.024,-0.14,+0.00,-10.06,+0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
