msg,ts,sample
HIGHRES_IMU,185915641,-10.0107
HIGHRES_IMU,185922562,-10.0102
HIGHRES_IMU,185936425,-10.0100
HIGHRES_IMU,185943410,-10.0086
HIGHRES_IMU,185950329,-10.0081
HIGHRES_IMU,185957304,-10.0076
HIGHRES_IMU,185971163,-10.0066
HIGHRES_IMU,185978101,-10.0053
HIGHRES_IMU,185985043,-10.0063
HIGHRES_IMU,185992046,-10.0050
HIGHRES_IMU,186005910,-10.0040
HIGHRES_IMU,186012843,-10.0035
HIGHRES_IMU,186019747,-10.0030
HIGHRES_IMU,186033624,-10.0020
HIGHRES_IMU,186040598,-10.0015
HIGHRES_IMU,186047545,-10.0009
HIGHRES_IMU,186054538,-10.0005
HIGHRES_IMU,186068390,-9.9994
HIGHRES_IMU,186075335,-9.9989
HIGHRES_IMU,186082292,-9.9984
HIGHRES_IMU,186089278,-9.9979
HIGHRES_IMU,186103153,-9.9948
HIGHRES_IMU,186110102,-9.9985
HIGHRES_IMU,186117101,-9.9955
HIGHRES_IMU,186124038,-9.9957
HIGHRES_IMU,186137892,-9.9944
HIGHRES_IMU,186144838,-9.9938
HIGHRES_IMU,186151730,-9.9933
HIGHRES_IMU,186158680,-9.9928
HIGHRES_IMU,186172569,-9.9918
HIGHRES_IMU,186179532,-9.9913
HIGHRES_IMU,186186480,-9.9908
HIGHRES_IMU,186200334,-9.9898
HIGHRES_IMU,186207296,-9.9893
HIGHRES_IMU,186214257,-9.9887
HIGHRES_IMU,186221245,-9.9882
HIGHRES_IMU,186235093,-9.9872
HIGHRES_IMU,186242036,-9.9867
HIGHRES_IMU,186248979,-9.9862
HIGHRES_IMU,186255937,-9.9857
HIGHRES_IMU,186269762,-9.9847
HIGHRES_IMU,186276714,-9.9841
HIGHRES_IMU,186283707,-9.9836
HIGHRES_IMU,186297556,-9.9826
HIGHRES_IMU,186304557,-9.9821
HIGHRES_IMU,186311445,-9.9816
HIGHRES_IMU,186318458,-9.9811
HIGHRES_IMU,186332357,-9.9800
HIGHRES_IMU,186339233,-9.9795
HIGHRES_IMU,186346203,-9.9790
HIGHRES_IMU,186353135,-9.9785
HIGHRES_IMU,186367055,-9.9774
HIGHRES_IMU,186373976,-9.9769
HIGHRES_IMU,186380978,-9.9764
HIGHRES_IMU,186387870,-9.9759
HIGHRES_IMU,186401863,-9.9749
HIGHRES_IMU,186408801,-9.9736
HIGHRES_IMU,186415710,-9.9746
HIGHRES_IMU,186422609,-9.9733
HIGHRES_IMU,186436518,-9.9722
HIGHRES_IMU,186443475,-9.9717
HIGHRES_IMU,186450339,-9.9712
HIGHRES_IMU,186464249,-9.9701
HIGHRES_IMU,186471199,-9.9696
HIGHRES_IMU,186478134,-9.9691
HIGHRES_IMU,186485068,-9.9685
HIGHRES_IMU,186498914,-9.9675
HIGHRES_IMU,186506019,-9.9669
HIGHRES_IMU,186513144,-9.9664
HIGHRES_IMU,186519843,-9.9659
HIGHRES_IMU,186533859,-9.9648
HIGHRES_IMU,186540666,-9.9643
HIGHRES_IMU,186547689,-9.9637
HIGHRES_IMU,186554544,-9.9632
HIGHRES_IMU,186561775,-9.9627
HIGHRES_IMU,186575386,-9.9616
HIGHRES_IMU,186582367,-9.9611
HIGHRES_IMU,186589307,-9.9605
HIGHRES_IMU,186603173,-9.9594
HIGHRES_IMU,186610086,-9.9589
HIGHRES_IMU,186617064,-9.9584
HIGHRES_IMU,186624027,-9.9578
HIGHRES_IMU,186637926,-9.9578
HIGHRES_IMU,186644824,-9.9562
HIGHRES_IMU,186651757,-9.9556
HIGHRES_IMU,186658745,-9.9551
HIGHRES_IMU,186672666,-9.9540
HIGHRES_IMU,186679603,-9.9534
HIGHRES_IMU,186686488,-9.9528
HIGHRES_IMU,186693505,-9.9523
HIGHRES_IMU,186707287,-9.9512
HIGHRES_IMU,186714223,-9.9506
HIGHRES_IMU,186721230,-9.9501
HIGHRES_IMU,186728173,-9.9495
HIGHRES_IMU,186742097,-9.9484
HIGHRES_IMU,186749060,-9.9478
HIGHRES_IMU,186755947,-9.9473
HIGHRES_IMU,186769828,-9.9462
HIGHRES_IMU,186776789,-9.9456
HIGHRES_IMU,186783748,-9.9450
HIGHRES_IMU,186790694,-9.9445
HIGHRES_IMU,186804578,-9.9433
HIGHRES_IMU,186811503,-9.9427
HIGHRES_IMU,186818428,-9.9421
HIGHRES_IMU,186825398,-9.9416
HIGHRES_IMU,186839269,-9.9405
HIGHRES_IMU,186846246,-9.9398
HIGHRES_IMU,186853198,-9.9393
HIGHRES_IMU,186860116,-9.9387
HIGHRES_IMU,186874020,-9.9376
HIGHRES_IMU,186880898,-9.9370
HIGHRES_IMU,186887893,-9.9364
HIGHRES_IMU,186894891,-9.9358
HIGHRES_IMU,186908692,-9.9346
HIGHRES_IMU,186915675,-9.9340
HIGHRES_IMU,186922619,-9.9334
HIGHRES_IMU,186936536,-9.9323
HIGHRES_IMU,186943522,-9.9317
HIGHRES_IMU,186950403,-9.9311
HIGHRES_IMU,186957329,-9.9305
HIGHRES_IMU,186971214,-9.9293
HIGHRES_IMU,186978131,-9.9287
HIGHRES_IMU,186985076,-9.9281
HIGHRES_IMU,186992135,-9.9231
HIGHRES_IMU,186999028,-9.9313
HIGHRES_IMU,187012921,-9.9257
HIGHRES_IMU,187019892,-9.9251
HIGHRES_IMU,187026842,-9.9241
HIGHRES_IMU,187040698,-9.9233
HIGHRES_IMU,187047655,-9.9227
HIGHRES_IMU,187054575,-9.9220
HIGHRES_IMU,187061513,-9.9215
HIGHRES_IMU,187075522,-9.9202
HIGHRES_IMU,187082384,-9.9196
HIGHRES_IMU,187089371,-9.9190
HIGHRES_IMU,187096251,-9.9184
HIGHRES_IMU,187110213,-9.9172
HIGHRES_IMU,187117104,-9.9165
HIGHRES_IMU,187124174,-9.9159
HIGHRES_IMU,187137995,-9.9141
HIGHRES_IMU,187144908,-9.9147
HIGHRES_IMU,187151813,-9.9134
HIGHRES_IMU,187165696,-9.9122
HIGHRES_IMU,187172731,-9.9115
HIGHRES_IMU,187179611,-9.9109
HIGHRES_IMU,187186636,-9.9103
HIGHRES_IMU,187200603,-9.9094
HIGHRES_IMU,187207438,-9.9084
HIGHRES_IMU,187214360,-9.9078
HIGHRES_IMU,187228182,-9.9065
HIGHRES_IMU,187235176,-9.9059
HIGHRES_IMU,187242111,-9.9052
HIGHRES_IMU,187255984,-9.9039
HIGHRES_IMU,187262931,-9.9033
HIGHRES_IMU,187269860,-9.9027
HIGHRES_IMU,187276867,-9.9020
HIGHRES_IMU,187290721,-9.9007
HIGHRES_IMU,187297648,-9.9001
HIGHRES_IMU,187304626,-9.8994
HIGHRES_IMU,187311593,-9.8988
HIGHRES_IMU,187325468,-9.8975
HIGHRES_IMU,187332439,-9.8968
HIGHRES_IMU,187339386,-9.8962
HIGHRES_IMU,187346286,-9.8955
HIGHRES_IMU,187360138,-9.8942
HIGHRES_IMU,187367118,-9.8936
HIGHRES_IMU,187374186,336.8946
HIGHRES_IMU,187381214,-10.1619
HIGHRES_IMU,187421359,-10.1636
HIGHRES_IMU,187428533,-10.1665
HIGHRES_IMU,187435537,-10.1437
HIGHRES_IMU,187442468,-10.1139
HIGHRES_IMU,187456367,-10.1126
HIGHRES_IMU,187463286,-10.1121
HIGHRES_IMU,187470300,-10.1117
HIGHRES_IMU,187477261,-10.1114
HIGHRES_IMU,187491116,-10.1108
HIGHRES_IMU,187498077,-10.1105
HIGHRES_IMU,187505248,-10.1103
HIGHRES_IMU,187518891,-10.1098
HIGHRES_IMU,187525910,-10.1074
HIGHRES_IMU,187532763,-10.1118
HIGHRES_IMU,187539732,-10.1093
HIGHRES_IMU,187546730,-10.1092
HIGHRES_IMU,187560587,-10.1090
HIGHRES_IMU,187567557,-10.1090
HIGHRES_IMU,187574513,-10.1089
HIGHRES_IMU,187588350,-10.1089
HIGHRES_IMU,187595294,-10.1089
HIGHRES_IMU,187602270,-10.1089
HIGHRES_IMU,187609180,-10.1089
HIGHRES_IMU,187623149,-10.1091
HIGHRES_IMU,187630210,-10.1092
HIGHRES_IMU,187636968,-10.1093
HIGHRES_IMU,187643930,-10.1094
HIGHRES_IMU,187657879,-10.1119
HIGHRES_IMU,187664743,-10.1099
HIGHRES_IMU,187671896,-10.1102
HIGHRES_IMU,187678772,-10.1104
HIGHRES_IMU,187692630,-10.1112
HIGHRES_IMU,187699473,-10.1112
HIGHRES_IMU,187706591,-10.1115
HIGHRES_IMU,187713423,-10.1118
HIGHRES_IMU,187727283,-10.1125
HIGHRES_IMU,187734192,-10.1129
HIGHRES_IMU,187741239,-10.1132
HIGHRES_IMU,187748184,-10.1137
HIGHRES_IMU,187755093,-10.1141
HIGHRES_IMU,187768957,-10.1150
HIGHRES_IMU,187775881,-10.1155
HIGHRES_IMU,187782973,-10.1160
HIGHRES_IMU,187796705,-10.1171
HIGHRES_IMU,187803654,-10.1176
HIGHRES_IMU,187810629,-10.1182
HIGHRES_IMU,187817528,-10.1188
HIGHRES_IMU,187831451,-10.1200
