wall_s,phase,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,gyro_x,gyro_y,gyro_z,acc_z
1784786914.0908,arm_neutral,0.27,0,0,0,0.0,0.0,-0.0,-9.34029769897461
1784786914.1110,arm_neutral,0.27,0,0,0,0.004679834470152855,-0.010579757392406464,0.00017149769701063633,-8.33846378326416
1784786914.1315,arm_neutral,0.27,0,0,0,-0.00084699597209692,-0.003115242812782526,0.005489829462021589,-9.351785659790039
1784786914.1518,arm_neutral,0.27,0,0,0,-0.0006949706003069878,-0.0012407684698700905,0.0005007336148992181,-9.375101089477539
1784786914.1720,arm_neutral,0.27,0,0,0,-0.0006607375107705593,-0.00023198832059279084,0.00018916458066087216,-9.328946113586426
1784786914.1923,arm_neutral,0.27,0,0,0,9.077374124899507e-05,-0.000699323951266706,0.00014923285925760865,-9.343353271484375
1784786914.2125,arm_neutral,0.27,0,0,0,9.944010525941849e-05,0.0032677496783435345,4.8444431740790606e-05,-9.392158508300781
1784786914.2327,arm_neutral,0.27,0,0,0,-0.0007437109015882015,0.00585009902715683,-0.00022473838180303574,-9.697576522827148
1784786914.2529,arm_neutral,0.27,0,0,0,-0.0005404276307672262,0.0028360397554934025,-0.00022028159582987428,-9.883158683776855
1784786914.2732,arm_neutral,0.27,0,0,0,-0.0002774987369775772,0.0012816499220207334,-8.574257662985474e-05,-9.990246772766113
1784786914.2939,arm_neutral,0.27,0,0,0,-0.0002327881520614028,0.0014746783999726176,5.1685856305994093e-05,-10.064955711364746
1784786914.3141,arm_neutral,0.27,0,0,0,-0.0002464322606101632,0.0015856812242418528,6.750778993591666e-05,-10.085454940795898
1784786914.3344,arm_neutral,0.27,0,0,0,-0.00024077831767499447,0.0014901307877153158,4.465001984499395e-05,-10.082182884216309
1784786914.3548,arm_neutral,0.27,0,0,0,-0.00020668236538767815,0.0012439406709745526,-3.1052331905812025e-06,-10.115532875061035
1784786914.3750,arm_neutral,0.27,0,0,0,-0.00019183941185474396,0.0011594378156587481,-1.5365687431767583e-05,-10.117944717407227
1784786914.3954,arm_neutral,0.27,0,0,0,-0.00017482915427535772,0.0010650724871084094,-1.6691337805241346e-05,-10.119264602661133
1784786914.4156,arm_neutral,0.27,0,0,0,-0.00016497325850650668,0.0010077811311930418,-1.078374043572694e-05,-10.119118690490723
1784786914.4358,arm_neutral,0.27,0,0,0,-0.00014690274838358164,0.0008936956292018294,1.575695932842791e-06,-10.117478370666504
1784786914.4561,arm_neutral,0.27,0,0,0,-0.00013390788808465004,0.0008143390878103673,4.881148925051093e-06,-10.115543365478516
1784786914.4764,arm_neutral,0.27,0,0,0,-0.00012607511598616838,0.0007654689252376556,4.242916475050151e-06,-10.1140775680542
1784786914.4971,arm_neutral,0.27,0,0,0,-0.00011126598110422492,0.0006779320538043976,7.681373972445726e-07,-10.110902786254883
1784786914.5176,arm_neutral,0.27,0,0,0,-0.00010474614100530744,0.0006379853002727032,-6.017653504386544e-07,-10.109272956848145
