step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,+0.000,-0.152,-0.000,+0.025,-0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.125,-0.000,+0.025,-0.000,+0.042,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.007,+0.00,-0.006,+0.0,0,
2,0.282,-0.001,-0.102,-0.000,+0.025,+0.000,+0.034,+0.000,-0.007,-0.004,+0.003,-2.93,+0.02,-9.41,+0.002,+0.302,1,-0.012,+0.00,-0.010,+0.0,0,
3,0.282,+0.000,-0.056,-0.000,+0.025,-0.000,+0.019,+0.000,+0.001,+0.242,+0.001,-1.50,+0.01,-10.21,+0.001,+0.146,1,-0.005,+0.00,-0.003,+0.0,0,
4,0.282,-0.000,-0.029,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.359,-0.000,-0.02,-0.00,-9.66,-0.000,+0.003,1,-0.010,+0.00,-0.009,+0.0,0,
5,0.282,-0.000,-0.054,-0.000,+0.025,+0.000,+0.018,+0.000,-0.000,+0.096,-0.000,-0.01,-0.00,-10.37,-0.000,+0.001,1,-0.005,+0.00,-0.003,+0.0,0,
6,0.282,-0.000,-0.049,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.131,+0.000,-0.02,+0.00,-10.65,+0.000,+0.001,1,+0.003,+0.00,+0.004,+0.0,0,
7,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.160,+0.000,-0.02,+0.00,-10.75,+0.000,+0.002,1,-0.001,+0.00,+0.001,+0.0,0,
8,0.282,-0.000,-0.045,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.118,-0.000,-0.03,-0.00,-10.80,-0.000,+0.002,1,-0.005,+0.00,-0.004,+0.0,0,
9,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.123,-0.000,-0.03,+0.00,-10.81,+0.000,+0.003,1,+0.009,+0.00,+0.010,+0.0,0,
10,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.123,-0.000,-0.04,+0.00,-10.80,+0.000,+0.004,1,-0.011,+0.00,-0.009,+0.0,0,
11,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.117,+0.000,-0.05,+0.00,-10.79,+0.000,+0.004,1,+0.000,+0.00,+0.002,+0.0,0,
12,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.115,+0.000,-0.06,+0.00,-10.78,+0.000,+0.005,1,+0.009,+0.00,+0.011,+0.0,0,
13,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.112,-0.000,-0.07,-0.00,-10.77,-0.000,+0.007,1,-0.001,+0.00,+0.001,+0.0,0,
14,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.109,-0.000,-0.08,+0.00,-10.76,+0.000,+0.008,1,-0.001,+0.00,+0.001,+0.0,0,
15,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.107,+0.000,-0.10,+0.00,-10.75,+0.000,+0.009,1,-0.001,+0.00,+0.001,+0.0,0,
16,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.107,+0.000,-0.11,-0.00,-10.74,-0.000,+0.011,1,+0.005,+0.00,+0.007,+0.0,0,
17,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.105,+0.000,-0.13,+0.00,-10.72,+0.000,+0.012,1,+0.001,+0.00,+0.003,+0.0,0,
18,0.282,-0.000,-0.039,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.103,-0.000,-0.15,+0.00,-10.71,+0.000,+0.014,1,-0.001,+0.00,+0.001,+0.0,0,
19,0.282,-0.000,-0.039,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.101,-0.000,-0.17,+0.00,-10.70,+0.000,+0.016,1,+0.007,+0.00,+0.008,+0.0,0,
20,0.282,-0.000,-0.039,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.099,+0.000,-0.19,+0.00,-10.69,+0.000,+0.018,1,+0.002,+0.00,+0.004,+0.0,0,
21,0.282,-0.000,-0.038,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.099,+0.000,-0.21,+0.00,-10.67,+0.000,+0.020,1,+0.001,+0.00,+0.003,+0.0,0,
22,0.282,-0.000,-0.037,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.097,+0.000,-0.24,+0.00,-10.66,+0.000,+0.022,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.282,-0.000,-0.036,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.094,+0.000,-0.26,+0.00,-10.65,+0.000,+0.025,1,+0.011,+0.00,+0.013,+0.0,0,
24,0.282,-0.000,-0.035,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.092,+0.000,-0.29,+0.00,-10.63,+0.000,+0.028,1,+0.003,+0.00,+0.004,+0.0,0,
25,0.282,-0.000,-0.035,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.090,-0.000,-0.32,-0.00,-10.62,-0.000,+0.030,1,+0.009,+0.00,+0.010,+0.0,0,
26,0.282,-0.000,-0.034,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.088,+0.000,-0.35,+0.00,-10.61,+0.000,+0.033,1,-0.006,+0.00,-0.004,+0.0,0,
27,0.282,-0.000,-0.033,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.086,+0.000,-0.38,-0.00,-10.59,-0.000,+0.036,1,+0.178,+0.00,+0.180,+0.0,0,
28,0.282,-0.000,-0.032,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.083,+0.000,-0.41,+0.00,-10.58,+0.000,+0.039,1,-0.013,+0.00,-0.011,+0.0,0,
29,0.282,-0.000,-0.031,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.080,+0.000,-0.45,+0.00,-10.56,+0.000,+0.043,1,+0.011,+0.00,+0.012,+0.0,0,
30,0.282,-0.000,-0.030,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.077,+0.000,-0.47,-0.00,-10.55,-0.000,+0.045,1,+0.012,+0.00,+0.014,+0.0,0,
31,0.282,-0.000,-0.029,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.075,-0.000,-0.50,-0.00,-10.54,-0.000,+0.048,1,+0.004,+0.00,+0.006,+0.0,0,
32,0.282,-0.000,-0.027,-0.000,+0.025,+0.000,+0.009,+0.000,+0.000,+0.072,-0.000,-0.55,+0.00,-10.52,+0.000,+0.052,1,-0.065,+0.00,-0.063,+0.0,0,
33,0.282,-0.000,-0.026,-0.000,+0.025,+0.000,+0.009,+0.000,+0.000,+0.068,-0.000,-0.59,-0.00,-10.51,-0.000,+0.056,1,+0.002,+0.00,+0.004,+0.0,0,
34,0.282,-0.000,-0.024,-0.000,+0.025,+0.000,+0.008,+0.000,+0.000,+0.065,-0.000,-0.63,+0.00,-10.50,+0.000,+0.060,1,+0.011,+0.00,+0.013,+0.0,0,
35,0.282,-0.000,-0.023,-0.000,+0.025,+0.000,+0.008,+0.000,+0.000,+0.062,-0.000,-0.66,+0.00,-10.48,+0.000,+0.063,1,+0.002,+0.00,+0.004,+0.0,0,
36,0.282,-0.000,-0.022,-0.000,+0.025,+0.000,+0.007,+0.000,+0.000,+0.059,-0.000,-0.71,-0.00,-10.47,-0.000,+0.067,1,-0.072,+0.00,-0.071,+0.0,0,
37,0.282,-0.000,-0.020,-0.000,+0.025,+0.000,+0.007,+0.000,+0.000,+0.055,-0.000,-0.75,+0.00,-10.46,+0.000,+0.072,1,+0.001,+0.00,+0.003,+0.0,0,
38,0.282,-0.000,-0.018,-0.000,+0.025,+0.000,+0.006,+0.000,+0.000,+0.051,-0.000,-0.79,-0.00,-10.44,-0.000,+0.076,1,+0.005,+0.00,+0.007,+0.0,0,
39,0.282,-0.000,-0.017,-0.000,+0.025,+0.000,+0.006,+0.000,+0.000,+0.047,-0.000,-0.84,+0.00,-10.43,+0.000,+0.080,1,+0.012,+0.00,+0.013,+0.0,0,
40,0.282,-0.000,-0.015,-0.000,+0.025,+0.000,+0.005,+0.000,+0.000,+0.043,+0.000,-0.88,+0.00,-10.42,+0.000,+0.084,1,+0.006,+0.00,+0.008,+0.0,0,
41,0.282,-0.000,-0.013,-0.000,+0.025,+0.000,+0.004,+0.000,+0.000,+0.039,+0.000,-0.92,+0.00,-10.40,+0.000,+0.089,1,+0.012,+0.00,+0.013,+0.0,0,
42,0.282,-0.000,-0.011,-0.000,+0.025,+0.000,+0.004,+0.000,+0.000,+0.035,-0.000,-0.97,+0.00,-10.39,+0.000,+0.093,1,+0.013,+0.00,+0.014,+0.0,0,
43,0.282,-0.000,-0.009,-0.000,+0.025,+0.000,+0.003,+0.000,+0.000,+0.030,-0.000,-1.02,+0.00,-10.37,+0.000,+0.098,1,+0.010,+0.00,+0.011,+0.0,0,
44,0.282,-0.000,-0.008,-0.000,+0.025,+0.000,+0.003,+0.000,+0.000,+0.025,-0.000,-1.07,+0.00,-10.36,+0.000,+0.103,1,+0.012,+0.00,+0.013,+0.0,0,
45,0.282,-0.000,-0.006,-0.000,+0.025,+0.000,+0.002,+0.000,+0.000,+0.023,-0.000,-1.10,+0.00,-10.35,+0.000,+0.106,1,+0.014,+0.00,+0.016,+0.0,0,
46,0.282,-0.000,-0.004,-0.000,+0.025,+0.000,+0.001,+0.000,+0.000,+0.017,-0.000,-1.15,+0.00,-10.34,+0.000,+0.111,1,+0.016,+0.00,+0.018,+0.0,0,
47,0.282,-0.000,-0.002,-0.000,+0.025,+0.000,+0.001,+0.000,+0.000,+0.013,-0.000,-1.20,+0.00,-10.33,+0.000,+0.116,1,+0.019,+0.00,+0.020,+0.0,0,
