step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,+0.000,-0.152,+0.001,+0.000,-0.000,+0.051,-0.000,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.000,-0.129,+0.001,+0.000,+0.000,+0.043,-0.000,-0.001,-0.010,-0.000,-3.01,-0.04,-10.06,-0.004,+0.290,1,-0.001,+0.00,+0.000,+0.0,0,
2,0.270,-0.002,-0.102,+0.001,+0.000,+0.001,+0.034,-0.000,-0.011,+0.053,-0.001,-2.30,-0.01,-9.86,-0.001,+0.229,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.002,-0.051,-0.003,+0.000,+0.001,+0.017,+0.001,-0.002,+0.369,-0.000,-0.85,-0.00,-9.78,-0.000,+0.087,1,-0.001,+0.00,+0.000,+0.0,0,
4,0.270,-0.000,-0.042,-0.003,+0.000,+0.000,+0.014,+0.001,+0.011,+0.318,+0.001,-0.02,+0.00,-9.36,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.000,-0.062,+0.000,+0.000,+0.000,+0.021,-0.000,+0.002,+0.097,+0.008,-0.01,+0.00,-9.87,+0.000,+0.001,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,+0.001,-0.052,+0.004,+0.000,-0.000,+0.017,-0.001,+0.000,+0.155,+0.006,-0.02,+0.00,-10.03,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,-0.000,-0.047,+0.000,+0.000,+0.000,+0.016,-0.000,+0.000,+0.170,-0.002,-0.02,+0.00,-10.08,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.000,-0.049,-0.000,+0.000,+0.000,+0.016,+0.000,+0.000,+0.131,-0.009,-0.08,+0.00,-10.09,+0.000,+0.008,1,+0.039,+0.00,+0.041,+0.0,0,
9,0.270,-0.001,-0.047,-0.006,+0.000,+0.000,+0.016,+0.002,+0.001,+0.133,-0.001,-0.03,+0.00,-10.11,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,+0.000,-0.045,-0.001,+0.000,-0.000,+0.015,+0.000,+0.003,+0.131,+0.009,-0.04,+0.00,-10.11,+0.000,+0.004,1,+0.013,+0.00,+0.015,+0.0,0,
11,0.270,+0.001,-0.044,+0.003,+0.000,-0.000,+0.015,-0.001,+0.001,+0.122,+0.012,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,+0.000,-0.043,+0.001,+0.000,-0.000,+0.014,-0.000,-0.002,+0.118,-0.001,-0.06,-0.00,-10.10,-0.000,+0.006,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.270,-0.000,-0.043,+0.000,+0.000,+0.000,+0.014,-0.000,-0.001,+0.116,-0.009,-0.07,-0.00,-10.09,-0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,-0.001,-0.042,-0.003,+0.000,+0.000,+0.014,+0.001,+0.001,+0.114,-0.004,-0.09,+0.00,-10.09,+0.000,+0.009,1,-0.001,+0.00,+0.000,+0.0,0,
15,0.270,-0.000,-0.041,-0.002,+0.000,+0.000,+0.014,+0.001,+0.001,+0.112,+0.003,-0.10,+0.00,-10.08,+0.000,+0.010,1,+0.029,+0.00,+0.031,+0.0,0,
16,0.270,+0.000,-0.041,+0.001,+0.000,-0.000,+0.014,-0.000,+0.001,+0.107,+0.008,-0.13,+0.00,-10.07,+0.000,+0.012,1,+0.005,+0.00,+0.006,+0.0,0,
17,0.270,+0.001,-0.040,+0.003,+0.000,-0.000,+0.013,-0.001,-0.000,+0.105,+0.002,-0.14,-0.00,-10.07,-0.000,+0.014,1,+0.014,+0.00,+0.016,+0.0,0,
18,0.270,+0.001,-0.041,+0.005,+0.000,-0.000,+0.014,-0.002,-0.002,+0.103,-0.006,-0.12,-0.00,-10.07,-0.000,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.273,+0.002,-0.039,+0.008,+0.005,-0.001,+0.013,-0.003,-0.002,+0.102,-0.009,-0.18,-0.00,-10.05,-0.000,+0.017,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.273,+0.002,-0.038,+0.013,+0.007,-0.001,+0.013,-0.004,-0.003,+0.102,-0.014,-0.20,-0.00,-10.10,-0.000,+0.020,1,-0.001,+0.00,+0.000,+0.0,0,
