step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.001,-0.152,-0.007,+0.000,+0.000,+0.051,+0.002,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.000,-0.129,-0.005,+0.000,+0.000,+0.043,+0.002,+0.001,-0.008,+0.000,-2.98,+0.04,-10.38,+0.004,+0.280,1,+0.006,+0.00,+0.008,+0.0,0,
2,0.270,+0.000,-0.104,-0.003,+0.000,-0.000,+0.035,+0.001,+0.014,+0.030,+0.002,-2.51,-0.12,-9.54,-0.013,+0.257,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.001,-0.045,-0.006,+0.000,+0.000,+0.015,+0.002,+0.001,+0.366,+0.001,-1.14,+0.00,-9.90,+0.000,+0.115,1,+0.003,+0.00,+0.004,+0.0,0,
4,0.270,-0.002,-0.037,-0.008,+0.000,+0.001,+0.012,+0.003,+0.000,+0.310,+0.009,-0.02,+0.00,-9.36,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.000,-0.057,-0.004,+0.000,+0.000,+0.019,+0.001,+0.004,+0.087,+0.021,-0.01,+0.00,-9.82,+0.000,+0.001,1,+0.007,+0.00,+0.009,+0.0,0,
6,0.270,+0.000,-0.047,-0.001,+0.000,-0.000,+0.016,+0.000,+0.002,+0.157,+0.016,-0.02,+0.00,-10.01,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
7,0.270,+0.006,-0.044,+0.024,+0.000,-0.002,+0.015,-0.008,-0.000,+0.171,+0.007,-0.02,-0.00,-10.07,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.001,-0.046,-0.000,+0.000,+0.000,+0.015,+0.000,-0.011,+0.126,-0.026,-0.02,-0.00,-10.10,-0.000,+0.002,1,+0.088,+0.00,+0.089,+0.0,0,
9,0.270,-0.001,-0.044,+0.003,+0.000,+0.000,+0.015,-0.001,-0.006,+0.128,-0.053,-0.04,-0.00,-10.10,-0.000,+0.004,1,+0.087,+0.00,+0.089,+0.0,0,
10,0.270,-0.001,-0.042,-0.005,+0.000,+0.000,+0.014,+0.002,+0.005,+0.128,-0.005,-0.04,+0.00,-10.11,+0.000,+0.004,1,+0.109,+0.00,+0.110,+0.0,0,
11,0.270,+0.002,-0.042,+0.008,+0.000,-0.001,+0.014,-0.003,+0.001,+0.119,+0.012,-0.05,+0.00,-10.10,+0.000,+0.005,1,+0.090,+0.00,+0.092,+0.0,0,
12,0.270,+0.002,-0.043,+0.012,+0.000,-0.001,+0.014,-0.004,-0.001,+0.115,+0.006,-0.06,-0.00,-10.10,-0.000,+0.006,1,+0.048,+0.00,+0.050,+0.0,0,
13,0.270,+0.002,-0.041,+0.014,+0.000,-0.001,+0.014,-0.005,-0.006,+0.115,-0.020,-0.07,-0.00,-10.09,-0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,-0.059,-0.041,-0.256,+0.000,+0.020,+0.014,+0.085,-0.005,+0.113,-0.037,-0.09,-0.00,-10.09,-0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.270,-0.046,-0.039,-0.250,+0.000,+0.015,+0.013,+0.083,+0.077,+0.115,+0.180,-0.10,+0.01,-10.21,+0.001,+0.010,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.270,+0.036,-0.039,+0.051,+0.000,-0.012,+0.013,-0.017,+0.142,+0.104,+0.689,-0.12,+0.01,-10.15,+0.001,+0.012,1,-0.001,+0.00,+0.000,+0.0,0,
17,0.270,+0.039,-0.041,+0.090,+0.000,-0.013,+0.014,-0.030,+0.053,+0.100,+0.638,-0.13,+0.00,-10.09,+0.000,+0.013,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.270,+0.019,-0.038,+0.104,+0.000,-0.006,+0.013,-0.035,-0.120,+0.109,-0.147,-0.15,-0.01,-10.24,-0.001,+0.015,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.270,+0.012,-0.039,+0.060,+0.000,-0.004,+0.013,-0.020,-0.048,+0.096,-0.423,-0.18,-0.00,-10.05,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.270,+0.055,-0.038,+0.250,+0.000,-0.018,+0.013,-0.083,-0.023,+0.098,-0.245,-0.20,-0.00,-10.06,-0.000,+0.020,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.270,-0.012,-0.036,+0.016,+0.000,+0.004,+0.012,-0.005,-0.111,+0.101,-0.302,-0.22,-0.01,-10.10,-0.001,+0.022,1,-0.001,+0.00,+0.000,+0.0,0,
22,0.270,-0.016,-0.037,-0.013,+0.000,+0.005,+0.012,+0.004,-0.060,+0.090,-0.498,-0.25,-0.00,-10.03,-0.000,+0.025,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.270,-0.006,-0.036,-0.035,+0.000,+0.002,+0.012,+0.012,+0.063,+0.094,-0.113,-0.27,+0.00,-10.10,+0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.270,-0.006,-0.035,-0.024,+0.000,+0.002,+0.012,+0.008,+0.022,+0.088,+0.199,-0.30,+0.00,-10.03,+0.000,+0.030,1,-0.002,+0.00,+0.000,+0.0,0,
