epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,348.877,1.00188,0.44567,0.16214,0.49568,0.92373,0.8991,0.81633,0.90355,0.52161,0.91042,0.8988,0.95779,0.84993,1.27612,0.49161,0.07999,0.56909,0.99567,0.0006536,0.0006536,0.0006536
104,352.05,0.99431,0.44063,0.14515,0.50306,0.93747,0.87037,0.8678,0.91657,0.51902,0.91124,0.90787,0.95878,0.8578,1.28048,0.47016,0.07711,0.58308,0.9968,0.0006404,0.0006404,0.0006404
105,355.273,0.99099,0.43437,0.152,0.48587,0.93726,0.83592,0.86641,0.883,0.51073,0.89167,0.89593,0.95164,0.84974,1.29911,0.50099,0.07872,0.58409,1.00277,0.0006272,0.0006272,0.0006272
106,358.636,1.01173,0.47194,0.1533,0.49607,0.92686,0.83394,0.85409,0.9005,0.53278,0.8813,0.89796,0.9555,0.84909,1.25485,0.48537,0.074,0.56779,0.98922,0.000614,0.000614,0.000614
107,361.945,0.99793,0.42734,0.15007,0.48906,0.93319,0.86324,0.82313,0.89986,0.52789,0.86806,0.91156,0.95249,0.84866,1.26036,0.50437,0.07688,0.56111,0.99332,0.0006008,0.0006008,0.0006008
108,365.493,0.97279,0.43348,0.13262,0.49355,0.91844,0.89249,0.84711,0.91338,0.54111,0.92842,0.88233,0.95642,0.85394,1.23364,0.48875,0.0773,0.56186,0.9826,0.0005876,0.0005876,0.0005876
109,368.935,0.95756,0.40181,0.14788,0.48277,0.92391,0.87936,0.843,0.90773,0.54392,0.9102,0.91837,0.95776,0.8499,1.22235,0.48396,0.07664,0.55767,0.98074,0.0005744,0.0005744,0.0005744
110,372.282,0.97814,0.43226,0.15489,0.48446,0.93091,0.88426,0.87755,0.91577,0.53621,0.92716,0.91837,0.95821,0.84939,1.25304,0.48067,0.07229,0.56132,0.99589,0.0005612,0.0005612,0.0005612
111,375.493,0.97024,0.42146,0.15175,0.48595,0.93047,0.88922,0.87371,0.92337,0.54246,0.92389,0.90836,0.96312,0.86273,1.24289,0.44418,0.06941,0.55601,0.99153,0.000548,0.000548,0.000548
112,379.069,0.98454,0.4283,0.15574,0.50118,0.92154,0.86883,0.83673,0.90693,0.52899,0.91984,0.88435,0.96239,0.86383,1.2641,0.44026,0.07267,0.5677,0.9969,0.0005348,0.0005348,0.0005348
113,382.298,0.97749,0.42481,0.14164,0.4905,0.92676,0.88233,0.86714,0.92046,0.53058,0.91694,0.90115,0.96469,0.86957,1.26288,0.44054,0.08326,0.55263,0.99509,0.0005216,0.0005216,0.0005216
114,385.559,0.94729,0.42359,0.14909,0.48728,0.92188,0.89484,0.86833,0.92975,0.53614,0.92286,0.89521,0.96494,0.86623,1.26794,0.44318,0.07783,0.55765,0.99876,0.0005084,0.0005084,0.0005084
115,388.745,0.97638,0.43139,0.14516,0.48219,0.93179,0.86466,0.85034,0.91329,0.52998,0.91252,0.89796,0.95809,0.85724,1.26427,0.43764,0.07372,0.55255,0.99518,0.0004952,0.0004952,0.0004952
116,392.035,0.95337,0.44162,0.14549,0.48664,0.91706,0.874,0.86395,0.91781,0.54294,0.91748,0.90759,0.9593,0.86447,1.23754,0.4526,0.07728,0.53365,0.98892,0.000482,0.000482,0.000482
117,395.642,0.92834,0.39373,0.1343,0.467,0.92287,0.87952,0.87075,0.92351,0.54872,0.91207,0.90476,0.95737,0.86559,1.23753,0.44206,0.07763,0.5363,0.99404,0.0004688,0.0004688,0.0004688
118,399.028,0.96218,0.41193,0.12773,0.47733,0.91978,0.84798,0.89116,0.92347,0.52418,0.89674,0.94523,0.96402,0.86038,1.27728,0.45797,0.07005,0.54543,1.00347,0.0004556,0.0004556,0.0004556
119,402.329,0.99195,0.42244,0.13629,0.48376,0.93559,0.89459,0.82993,0.92169,0.53534,0.9111,0.90637,0.96457,0.86112,1.25758,0.46073,0.06844,0.54513,1.00177,0.0004424,0.0004424,0.0004424
120,405.661,0.96363,0.42585,0.12307,0.47785,0.93046,0.86067,0.82313,0.87927,0.51564,0.92672,0.89116,0.96274,0.85424,1.27802,0.47754,0.071,0.54855,0.99945,0.0004292,0.0004292,0.0004292
121,408.969,0.97616,0.43671,0.13187,0.48437,0.92051,0.87651,0.84354,0.89218,0.52869,0.92751,0.89116,0.9619,0.86143,1.26538,0.46366,0.07179,0.54337,0.99885,0.000416,0.000416,0.000416
122,412.233,0.93754,0.41112,0.15305,0.47142,0.93077,0.84892,0.87917,0.91338,0.54045,0.90129,0.93197,0.96144,0.86262,1.23421,0.45594,0.07227,0.5427,0.99261,0.0004028,0.0004028,0.0004028
123,415.678,0.93095,0.40629,0.15477,0.46257,0.91931,0.88111,0.85703,0.91426,0.52275,0.91861,0.91156,0.9612,0.85485,1.27674,0.47425,0.07331,0.55306,1.00518,0.0003896,0.0003896,0.0003896
124,418.982,0.9465,0.39356,0.11833,0.46892,0.91894,0.83946,0.88435,0.89651,0.52813,0.90347,0.94558,0.95954,0.8457,1.27495,0.48318,0.07271,0.55562,1.00478,0.0003764,0.0003764,0.0003764
125,422.291,0.96968,0.42009,0.12857,0.4749,0.92302,0.87535,0.87075,0.9217,0.52777,0.92097,0.91837,0.96255,0.85407,1.26579,0.47345,0.07434,0.55351,1.00324,0.0003632,0.0003632,0.0003632
126,425.619,0.92909,0.41679,0.14495,0.46161,0.9051,0.88512,0.82993,0.91572,0.52592,0.89806,0.93197,0.96201,0.85303,1.27052,0.47791,0.07889,0.55443,1.01193,0.00035,0.00035,0.00035
127,428.869,0.91747,0.41109,0.14322,0.45485,0.91738,0.86356,0.86113,0.90309,0.52151,0.90569,0.91837,0.9599,0.84894,1.27404,0.47997,0.07647,0.55004,1.02079,0.0003368,0.0003368,0.0003368
128,432.215,0.92232,0.44676,0.13254,0.46328,0.92186,0.8503,0.88873,0.91741,0.51929,0.8959,0.93676,0.95996,0.84804,1.2794,0.46783,0.07288,0.55626,1.01436,0.0003236,0.0003236,0.0003236
129,435.545,0.92713,0.43549,0.14329,0.47173,0.91385,0.84104,0.87075,0.91531,0.52046,0.89244,0.94558,0.96002,0.8539,1.28746,0.46655,0.07117,0.55702,1.01227,0.0003104,0.0003104,0.0003104
130,438.696,0.96835,0.40203,0.13579,0.4768,0.93078,0.83672,0.87075,0.91247,0.52572,0.89188,0.93878,0.96047,0.85619,1.25276,0.45621,0.07427,0.54262,1.00105,0.0002972,0.0002972,0.0002972
131,442.09,0.94765,0.40491,0.14445,0.46791,0.91504,0.83105,0.87755,0.9111,0.5287,0.88786,0.93878,0.96038,0.85832,1.24666,0.44332,0.07361,0.55615,0.99483,0.000284,0.000284,0.000284
132,445.311,0.95118,0.38018,0.13645,0.46925,0.92065,0.83271,0.89116,0.91516,0.53663,0.88472,0.94558,0.96171,0.86602,1.23277,0.44067,0.07047,0.5543,0.98618,0.0002708,0.0002708,0.0002708
133,448.531,0.92838,0.39937,0.1234,0.45677,0.90515,0.83436,0.89091,0.90879,0.53423,0.91693,0.90112,0.96092,0.86342,1.23061,0.45697,0.0714,0.56202,0.98761,0.0002576,0.0002576,0.0002576
134,451.845,0.92906,0.39809,0.12716,0.46566,0.91167,0.87705,0.87351,0.91443,0.52065,0.92467,0.91859,0.96055,0.86186,1.25471,0.45842,0.0707,0.56449,0.99581,0.0002444,0.0002444,0.0002444
135,455.212,0.96801,0.43465,0.13821,0.4805,0.92233,0.86844,0.87075,0.91537,0.53666,0.92463,0.918,0.96327,0.8648,1.24555,0.44744,0.06644,0.56018,0.99511,0.0002312,0.0002312,0.0002312
136,458.439,0.93089,0.42367,0.12829,0.46623,0.90225,0.85392,0.85034,0.9064,0.53486,0.92454,0.90476,0.96271,0.86369,1.24077,0.45475,0.06892,0.55604,0.99645,0.000218,0.000218,0.000218
137,461.603,0.91313,0.40915,0.13557,0.45526,0.90714,0.86225,0.84354,0.9102,0.52974,0.924,0.90476,0.96074,0.86503,1.25758,0.4471,0.07009,0.55944,1.00665,0.0002048,0.0002048,0.0002048
138,465.004,0.93693,0.37427,0.11328,0.46404,0.92367,0.86722,0.85034,0.90995,0.52719,0.89057,0.92517,0.95825,0.86287,1.26497,0.4454,0.0664,0.55338,1.0129,0.0001916,0.0001916,0.0001916
139,468.399,0.92304,0.42845,0.12544,0.46142,0.91138,0.85739,0.87075,0.91369,0.52549,0.90681,0.9267,0.95752,0.86534,1.24577,0.43942,0.06315,0.53972,1.00516,0.0001784,0.0001784,0.0001784
140,471.781,0.92925,0.37795,0.12588,0.45145,0.91646,0.8731,0.87755,0.91383,0.52894,0.90732,0.93241,0.9615,0.86728,1.25337,0.44238,0.06271,0.5371,1.00531,0.0001652,0.0001652,0.0001652
141,478.438,0.91728,0.31842,0.06758,0.44419,0.91592,0.86762,0.87075,0.91485,0.53163,0.92417,0.92517,0.96157,0.86967,1.26404,0.44601,0.06314,0.54776,1.00692,0.000152,0.000152,0.000152
142,481.772,0.89265,0.33259,0.05749,0.43483,0.9022,0.85823,0.8648,0.91698,0.53263,0.90542,0.91175,0.95513,0.86073,1.25331,0.45569,0.06148,0.53891,1.00348,0.0001388,0.0001388,0.0001388
143,485.17,0.90299,0.31391,0.0631,0.42922,0.90382,0.858,0.81633,0.90049,0.53416,0.8927,0.90556,0.95502,0.86129,1.23402,0.44279,0.06272,0.54582,0.99523,0.0001256,0.0001256,0.0001256
144,488.47,0.88842,0.31505,0.06083,0.42387,0.9062,0.85274,0.82725,0.90197,0.53887,0.90451,0.90215,0.95617,0.86289,1.23035,0.44001,0.0623,0.53475,0.99372,0.0001124,0.0001124,0.0001124
145,491.757,0.87822,0.29786,0.05865,0.42161,0.91232,0.85844,0.82507,0.90761,0.53575,0.92341,0.90219,0.95722,0.8683,1.23888,0.44333,0.0609,0.53585,0.99467,9.92e-05,9.92e-05,9.92e-05
146,495.019,0.88302,0.32038,0.06208,0.42482,0.90936,0.8601,0.83645,0.90885,0.53483,0.91931,0.89796,0.95698,0.86623,1.24487,0.44666,0.06067,0.5392,0.99689,8.6e-05,8.6e-05,8.6e-05
147,498.244,0.89712,0.31997,0.05919,0.42866,0.90526,0.86437,0.83673,0.89957,0.53174,0.92473,0.89796,0.95663,0.86175,1.24494,0.45437,0.06043,0.53933,0.99752,7.28e-05,7.28e-05,7.28e-05
148,501.847,0.91124,0.30172,0.05671,0.4227,0.92326,0.85856,0.83673,0.90661,0.52972,0.91952,0.89796,0.9568,0.85928,1.24124,0.45153,0.0599,0.53902,0.99642,5.96e-05,5.96e-05,5.96e-05
149,505.062,0.85732,0.28477,0.05827,0.42032,0.8931,0.85687,0.83673,0.90667,0.53558,0.91916,0.89796,0.95528,0.86186,1.23437,0.44888,0.05968,0.539,0.99498,4.64e-05,4.64e-05,4.64e-05
150,508.448,0.87776,0.30394,0.05444,0.41541,0.88752,0.85567,0.83673,0.90968,0.53952,0.91843,0.89796,0.95698,0.86532,1.23203,0.44708,0.05952,0.53475,0.99426,3.32e-05,3.32e-05,3.32e-05
