epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,94.8694,1.21215,0.77636,0.32272,0.65702,1.01625,0.88109,0.71429,0.82614,0.47424,0.86764,0.84354,0.92844,0.78537,1.29528,0.76008,0.20918,0.67889,1.01242,0.0016568,0.0016568,0.0016568
28,98.307,1.22847,0.8044,0.31153,0.66061,1.0209,0.85355,0.69388,0.82013,0.48259,0.8467,0.86419,0.92249,0.78387,1.30826,0.73201,0.2148,0.69056,1.02607,0.0016436,0.0016436,0.0016436
29,101.669,1.19901,0.84832,0.3427,0.6653,1.01459,0.77951,0.7551,0.79599,0.45915,0.87689,0.85034,0.92239,0.76051,1.30472,0.78945,0.21753,0.70933,1.0176,0.0016304,0.0016304,0.0016304
30,105.054,1.2883,0.88699,0.36344,0.69045,1.03362,0.78519,0.77551,0.79994,0.43827,0.84573,0.85775,0.9076,0.76313,1.37818,0.76213,0.2225,0.72991,1.02668,0.0016172,0.0016172,0.0016172
31,108.382,1.22162,0.79284,0.3182,0.65093,1.00904,0.77659,0.80952,0.82873,0.46476,0.871,0.8727,0.9337,0.77891,1.37684,0.7824,0.20711,0.70008,1.04056,0.001604,0.001604,0.001604
32,111.581,1.25943,0.83393,0.31732,0.67186,1.01976,0.82906,0.7415,0.83829,0.47511,0.85747,0.86395,0.93628,0.79753,1.3102,0.70733,0.20053,0.66993,1.02262,0.0015908,0.0015908,0.0015908
33,115.064,1.21503,0.76703,0.30264,0.64028,1.02365,0.84446,0.70068,0.8053,0.43945,0.914,0.80272,0.92973,0.78358,1.36571,0.69567,0.20292,0.70916,1.03739,0.0015776,0.0015776,0.0015776
34,118.224,1.21062,0.74754,0.29353,0.63337,1.00483,0.85021,0.76871,0.8589,0.47711,0.82958,0.89116,0.92469,0.78442,1.29578,0.70908,0.20474,0.6633,1.02193,0.0015644,0.0015644,0.0015644
35,121.519,1.19159,0.72669,0.30521,0.62562,1.00558,0.84841,0.76871,0.84018,0.48628,0.89848,0.84293,0.93547,0.79747,1.32108,0.67172,0.19585,0.65672,1.0344,0.0015512,0.0015512,0.0015512
36,125.09,1.20778,0.72299,0.31473,0.6352,1.03244,0.90742,0.7483,0.85458,0.47582,0.93651,0.8028,0.93274,0.79284,1.35526,0.67661,0.18712,0.66971,1.03358,0.001538,0.001538,0.001538
