step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.002,-0.188,-0.008,+0.000,+0.001,+0.063,+0.003,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
1,0.270,-0.007,-0.163,-0.026,+0.000,+0.002,+0.054,+0.009,-0.022,-0.005,-0.002,-2.73,+0.26,-8.84,+0.029,+0.299,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.008,-0.092,-0.041,+0.000,+0.003,+0.031,+0.014,-0.003,+0.374,-0.001,-1.90,-0.01,-10.46,-0.001,+0.180,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,-0.008,-0.050,-0.038,+0.000,+0.003,+0.017,+0.013,-0.000,+0.553,+0.014,-0.41,-0.00,-9.25,-0.000,+0.044,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.000,-0.077,-0.028,+0.000,+0.000,+0.026,+0.009,+0.033,+0.170,+0.116,-0.37,+0.00,-9.59,+0.000,+0.039,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,+0.000,-0.057,-0.014,+0.000,-0.000,+0.019,+0.005,+0.004,+0.193,+0.084,-1.29,-0.00,-9.68,-0.000,+0.133,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,-0.001,-0.050,-0.015,+0.000,+0.000,+0.017,+0.005,-0.000,+0.221,+0.052,-0.02,-0.00,-10.04,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.004,-0.046,+0.004,+0.001,-0.001,+0.015,-0.001,+0.004,+0.140,+0.016,-1.08,-0.01,-9.81,-0.001,+0.109,1,-0.001,+0.00,+0.000,+0.0,0,
8,0.272,+0.005,-0.047,+0.008,+0.004,-0.002,+0.016,-0.003,+0.004,+0.139,+0.020,-0.03,+0.00,-10.10,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.275,+0.003,-0.047,+0.009,+0.010,-0.001,+0.016,-0.003,-0.010,+0.135,-0.002,-0.04,-0.00,-10.15,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,+0.001,-0.047,-0.000,+0.000,-0.000,+0.016,+0.000,-0.007,+0.131,-0.028,-0.04,-0.00,-10.28,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
