Waiting for heartbeat...
Connected to system: 1
Setting up MAVLink rx...
Setting up Timesync loop...
Setting up VIO state estimator...
Loading YOLO gate model...
YOLO gate model ready.
Setting up planner...
Logging run to logs/run_1785189749.jsonl (and logs/latest.jsonl, truncated each run)
Listening for camera frames...
Priming attitude-hold stream...
[vio] anchored gate 0 at (+10.5,+0.1,-1.6) yaw=+0deg
Sim mode map: ['ACRO', 'ALT_HOLD', 'AUTO', 'AUTOROTATE', 'AUTOTUNE', 'AUTO_RTL', 'AVOID_ADSB', 'BRAKE', 'CIRCLE', 'DRIFT', 'FLIP', 'FLOWHOLD', 'FOLLOW', 'GUIDED', 'GUIDED_NOGPS', 'LAND', 'LOITER', 'OF_LOITER', 'POSHOLD', 'POSITION', 'RTL', 'SMART_RTL', 'SPORT', 'STABILIZE', 'SYSTEMID', 'THROW', 'ZIGZAG']
Requested control mode: STABILIZE
Arming drone...
Starting control loop... (DRY_RUN=False)
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+0.92) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.10) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.30) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.50) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.71) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.91) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.11) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.31) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.52) thr=0.28
[FLY] src=     pnp_track range= 29.2m vel_ned=(+0.33,-1.97,-0.53) att=(r+0.33,p-0.06,y-1.41) thr=0.35
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r+0.14,p-0.26,y-0.90) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r-0.18,p-0.24,y-0.90) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r-0.18,p-0.24,y-0.90) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r-0.18,p-0.24,y-0.90) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r-0.18,p-0.24,y-0.90) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.62,-0.79,+0.10) att=(r-0.17,p-0.25,y-0.90) thr=0.27
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.01,y-0.86) thr=0.29
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r+0.05,p-0.29,y-0.66) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r-0.29,p+0.07,y-0.66) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r-0.29,p+0.07,y-0.66) thr=0.27
