step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.010,-0.152,-0.042,+0.000,+0.003,+0.051,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.009,-0.129,-0.041,+0.000,+0.003,+0.043,+0.014,+0.001,-0.005,+0.000,-2.93,+0.04,-10.34,+0.003,+0.276,1,+0.006,+0.00,+0.008,+0.0,0,
2,0.270,-0.008,-0.105,-0.042,+0.000,+0.003,+0.035,+0.014,+0.012,+0.006,-0.000,-2.69,-0.05,-9.39,-0.005,+0.279,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.003,-0.043,-0.018,+0.000,+0.001,+0.014,+0.006,+0.000,+0.389,+0.003,-0.82,+0.00,-9.72,+0.000,+0.084,1,+0.007,+0.00,+0.009,+0.0,0,
4,0.274,-0.003,-0.046,-0.038,+0.007,+0.001,+0.015,+0.013,+0.036,+0.289,+0.105,+0.38,+0.00,-9.40,+0.000,-0.040,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,-0.003,-0.061,-0.037,+0.000,+0.001,+0.020,+0.012,+0.022,+0.114,+0.110,-0.00,+0.00,-9.79,+0.000,+0.000,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,-0.003,-0.041,-0.033,+0.000,+0.001,+0.014,+0.011,+0.006,+0.163,+0.081,-1.31,-0.00,-9.71,-0.000,+0.134,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.001,-0.039,-0.016,+0.000,-0.000,+0.013,+0.005,+0.011,+0.151,+0.068,-0.01,-0.00,-10.08,-0.000,+0.001,1,+0.001,+0.00,+0.002,+0.0,0,
8,0.270,+0.006,-0.042,+0.005,+0.000,-0.002,+0.014,-0.002,+0.009,+0.116,+0.065,-0.02,+0.00,-10.10,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.270,+0.005,-0.041,+0.010,+0.000,-0.002,+0.014,-0.003,-0.009,+0.118,+0.027,-0.01,+0.00,-10.11,+0.000,+0.001,1,+0.004,+0.00,+0.007,+0.0,0,
10,0.270,+0.006,-0.040,+0.016,+0.000,-0.002,+0.013,-0.005,-0.009,+0.119,-0.041,-0.02,+0.00,-10.11,+0.000,+0.002,1,+0.146,+0.00,+0.148,+0.0,0,
11,0.291,+0.000,-0.040,-0.004,+0.042,-0.000,+0.013,+0.001,-0.010,+0.115,-0.032,-0.04,-0.00,-10.10,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.291,-0.000,-0.040,-0.004,+0.042,+0.000,+0.013,+0.001,-0.010,+0.115,-0.032,-0.04,-0.00,-10.10,-0.000,+0.004,1,-0.026,+0.00,+0.004,+0.0,0,
13,0.297,+0.001,-0.029,-0.005,+0.055,-0.000,+0.010,+0.002,+0.001,+0.106,+0.007,+0.05,-0.00,-11.25,-0.000,-0.005,1,-0.000,+0.00,+0.000,+0.0,0,
14,0.297,+0.001,-0.036,-0.005,+0.055,-0.000,+0.012,+0.002,+0.001,+0.106,+0.007,+0.05,-0.00,-11.25,-0.000,-0.005,1,-0.000,+0.00,+0.000,+0.0,0,
15,0.297,+0.000,-0.043,-0.005,+0.055,-0.000,+0.014,+0.002,+0.001,+0.106,+0.007,+0.05,-0.00,-11.25,-0.000,-0.005,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.297,+0.000,-0.048,-0.005,+0.055,-0.000,+0.016,+0.002,+0.001,+0.106,+0.007,+0.05,-0.00,-11.25,-0.000,-0.005,1,-0.000,+0.00,+0.000,+0.0,0,
17,0.297,+0.000,-0.053,-0.005,+0.055,-0.000,+0.018,+0.002,+0.001,+0.106,+0.007,+0.05,-0.00,-11.25,-0.000,-0.005,1,-0.000,+0.00,+0.000,+0.0,0,
18,0.297,+0.000,-0.055,-0.005,+0.055,-0.000,+0.018,+0.002,-0.000,+0.126,+0.012,-0.06,-0.00,-11.52,-0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
