step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.006,-0.152,-0.026,+0.000,+0.002,+0.051,+0.009,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
1,0.271,-0.008,-0.129,-0.037,+0.001,+0.003,+0.043,+0.012,+0.001,-0.011,+0.000,-3.01,+0.03,-10.04,+0.003,+0.291,1,-0.001,+0.00,+0.000,+0.0,0,
2,0.270,-0.006,-0.102,-0.033,+0.000,+0.002,+0.034,+0.011,+0.016,+0.037,-0.001,-2.50,-0.09,-9.60,-0.009,+0.255,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.009,-0.050,-0.041,+0.000,+0.003,+0.017,+0.014,+0.001,+0.309,+0.001,-1.43,+0.00,-10.05,+0.000,+0.142,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.000,-0.047,-0.029,+0.000,+0.000,+0.016,+0.010,+0.039,+0.246,+0.113,-0.00,-0.00,-9.46,-0.000,+0.000,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,+0.172,-0.056,+0.740,+0.000,-0.057,+0.019,-0.247,+0.021,+0.118,+0.129,-0.02,+0.00,-9.84,+0.000,+0.002,1,-0.003,+0.00,+0.000,+0.0,0,
6,0.270,+0.151,-0.047,+0.740,+0.000,-0.050,+0.016,-0.247,-0.137,+0.186,-0.136,-0.02,-0.01,-13.12,-0.001,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.104,-0.041,+0.740,+0.000,-0.035,+0.014,-0.247,-0.393,+0.190,-1.772,-0.03,-0.03,-12.30,-0.003,+0.002,1,-0.003,+0.00,+0.000,+0.0,0,
8,0.270,+0.106,-0.051,+0.740,+0.000,-0.035,+0.017,-0.247,-0.232,+0.088,-2.133,-0.02,-0.01,-9.65,-0.002,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.002,-0.046,+0.308,+0.000,+0.001,+0.015,-0.103,-0.224,+0.117,-1.852,-0.05,-0.01,-9.45,-0.001,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
