step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,-0.000,-0.152,-0.000,+0.025,+0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.127,-0.000,+0.025,-0.000,+0.042,+0.000,+0.002,-0.004,-0.000,-2.95,-0.01,-9.51,-0.001,+0.301,1,-0.005,+0.00,-0.003,+0.0,0,
2,0.282,-0.001,-0.088,-0.000,+0.025,+0.000,+0.029,+0.000,-0.004,+0.163,-0.001,-1.91,-0.03,-10.29,-0.002,+0.184,1,-0.004,+0.00,-0.002,+0.0,0,
3,0.282,-0.001,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,-0.001,+0.430,+0.000,-0.05,-0.01,-9.46,-0.001,+0.006,1,+0.000,+0.00,+0.001,+0.0,0,
4,0.282,+0.000,-0.058,-0.000,+0.025,-0.000,+0.019,+0.000,+0.006,+0.202,+0.001,-0.02,+0.00,-10.15,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.282,-0.000,-0.063,-0.000,+0.025,+0.000,+0.021,+0.000,-0.000,+0.122,+0.000,-0.01,-0.00,-10.56,-0.000,+0.001,1,+0.002,+0.00,+0.003,+0.0,0,
6,0.282,-0.000,-0.052,-0.000,+0.025,+0.000,+0.017,+0.000,+0.000,+0.182,-0.000,-0.02,+0.00,-10.73,+0.000,+0.002,1,+0.001,+0.00,+0.003,+0.0,0,
7,0.282,-0.000,-0.051,-0.000,+0.025,+0.000,+0.017,+0.000,+0.001,+0.151,-0.000,-0.02,+0.00,-10.79,+0.000,+0.002,1,+0.004,+0.00,+0.006,+0.0,0,
8,0.282,-0.000,-0.050,-0.000,+0.025,+0.000,+0.017,+0.000,+0.000,+0.137,+0.000,-0.03,+0.00,-10.80,+0.000,+0.003,1,-0.003,+0.00,-0.002,+0.0,0,
9,0.282,-0.000,-0.049,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.137,+0.000,-0.04,+0.00,-10.80,+0.000,+0.004,1,-0.004,+0.00,-0.002,+0.0,0,
10,0.282,-0.000,-0.047,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.133,-0.000,-0.04,+0.00,-10.80,+0.000,+0.004,1,+0.006,+0.00,+0.008,+0.0,0,
11,0.282,-0.000,-0.045,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.127,-0.000,-0.05,+0.00,-10.79,+0.000,+0.005,1,-0.012,+0.00,-0.010,+0.0,0,
12,0.282,+0.000,-0.045,-0.000,+0.025,-0.000,+0.015,+0.000,+0.000,+0.120,+0.000,-0.07,+0.00,-10.77,+0.000,+0.006,1,+0.005,+0.00,+0.007,+0.0,0,
13,0.282,+0.000,-0.043,-0.000,+0.025,-0.000,+0.014,+0.000,+0.000,+0.118,+0.000,-0.08,+0.00,-10.77,+0.000,+0.007,1,+0.007,+0.00,+0.008,+0.0,0,
14,0.282,+0.000,-0.044,-0.000,+0.025,-0.000,+0.015,+0.000,+0.000,+0.115,+0.000,-0.09,+0.00,-10.75,+0.000,+0.009,1,+0.024,+0.00,+0.026,+0.0,0,
15,0.282,+0.000,-0.042,-0.000,+0.025,-0.000,+0.014,+0.000,+0.000,+0.113,-0.000,-0.11,+0.00,-10.74,+0.000,+0.010,1,+0.032,+0.00,+0.034,+0.0,0,
16,0.282,+0.000,-0.041,-0.000,+0.025,-0.000,+0.014,+0.000,+0.000,+0.110,-0.000,-0.13,+0.00,-10.73,+0.000,+0.012,1,-0.004,+0.00,-0.002,+0.0,0,
17,0.282,+0.000,-0.041,-0.000,+0.025,-0.000,+0.014,+0.000,+0.000,+0.107,+0.000,-0.15,+0.00,-10.71,+0.000,+0.014,1,+0.007,+0.00,+0.009,+0.0,0,
18,0.282,+0.000,-0.040,-0.000,+0.025,-0.000,+0.013,+0.000,+0.000,+0.104,-0.000,-0.17,+0.00,-10.70,+0.000,+0.016,1,-0.001,+0.00,+0.000,+0.0,0,
19,0.282,+0.000,-0.040,-0.000,+0.025,-0.000,+0.013,+0.000,+0.000,+0.102,-0.000,-0.18,+0.00,-10.69,+0.000,+0.017,1,-0.007,+0.00,-0.006,+0.0,0,
