step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.006,-0.152,-0.020,+0.000,+0.002,+0.051,+0.007,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.006,-0.129,-0.020,+0.000,+0.002,+0.043,+0.007,+0.001,-0.011,+0.000,-3.01,+0.03,-10.06,+0.003,+0.291,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,-0.004,-0.096,-0.020,+0.000,+0.001,+0.032,+0.007,+0.006,+0.092,+0.002,-2.40,+0.03,-10.07,+0.003,+0.234,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,+0.004,-0.042,+0.012,+0.000,-0.001,+0.014,-0.004,-0.000,+0.392,+0.000,-0.74,+0.01,-9.63,+0.001,+0.077,1,+0.008,+0.00,+0.010,+0.0,0,
4,0.270,+0.005,-0.058,+0.012,+0.000,-0.002,+0.019,-0.004,+0.006,+0.164,+0.025,-0.01,+0.00,-9.60,+0.000,+0.001,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,+0.001,-0.062,+0.004,+0.000,-0.000,+0.021,-0.001,-0.011,+0.115,-0.015,-0.00,-0.00,-9.87,-0.000,+0.000,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.168,-0.049,+0.562,+0.000,-0.056,+0.016,-0.188,-0.006,+0.184,-0.036,-0.02,-0.00,-10.02,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,-0.039,-0.039,-0.022,+0.000,+0.013,+0.013,+0.007,-0.239,+0.231,-0.463,-0.03,-0.02,-12.29,-0.002,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.044,-0.047,-0.082,+0.000,+0.015,+0.016,+0.027,-0.060,+0.117,-0.957,-0.23,-0.00,-10.75,-0.000,+0.021,1,-0.001,+0.00,+0.000,+0.0,0,
9,0.270,-0.011,-0.046,-0.084,+0.000,+0.004,+0.015,+0.028,+0.181,+0.114,-0.099,-0.03,+0.01,-10.08,+0.001,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.016,-0.044,-0.064,+0.000,+0.005,+0.015,+0.021,+0.040,+0.123,+0.493,-0.04,+0.00,-9.57,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,-0.014,-0.043,-0.060,+0.000,+0.005,+0.014,+0.020,+0.027,+0.119,+0.220,-0.05,+0.00,-9.76,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,-0.003,-0.044,-0.037,+0.000,+0.001,+0.015,+0.012,+0.044,+0.114,+0.053,-0.07,+0.00,-9.87,+0.000,+0.007,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.281,-0.009,-0.042,-0.056,+0.021,+0.003,+0.014,+0.019,+0.026,+0.114,+0.047,-0.07,+0.00,-9.95,+0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,+0.006,-0.041,-0.006,+0.000,-0.002,+0.014,+0.002,+0.021,+0.112,+0.107,-0.09,+0.00,-10.35,+0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.282,-0.005,-0.041,-0.039,+0.024,+0.002,+0.014,+0.013,+0.009,+0.109,+0.111,-0.10,+0.00,-10.31,+0.000,+0.010,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.282,-0.006,-0.041,-0.037,+0.025,+0.002,+0.014,+0.012,-0.003,+0.106,+0.029,-0.12,-0.00,-10.38,-0.000,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
